API,Arg,default,enum_constr,descp
torch.nn.crossentropyloss,reduction,mean,"['mean', 'none', 'sum']","Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the sum of the output will be divided by the number of elements in the output, `'sum'`: the output will be summed. Note: `size_average` and `reduce` are in the process of being deprecated, and in the meantime, specifying either of those two args will override `reduction`. Default: `'mean'`"
torch.nn.functional.grid_sample,mode,bilinear,"['bilinear', 'nearest']",interpolation mode to calculate output values `'bilinear'` | `'nearest'`. Default: `'bilinear'`
torch.nn.functional.grid_sample,padding_mode,zeros,"['border', 'reflection', 'zeros']",padding mode for outside grid values `'zeros'` | `'border'` | `'reflection'`. Default: `'zeros'`
torch.nn.tripletmarginloss,reduction,mean,"['mean', 'none', 'sum']","Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the sum of the output will be divided by the number of elements in the output, `'sum'`: the output will be summed. Note: `size_average` and `reduce` are in the process of being deprecated, and in the meantime, specifying either of those two args will override `reduction`. Default: `'mean'`"
torch.nn.marginrankingloss,reduction,mean,"['mean', 'none', 'sum']","Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the sum of the output will be divided by the number of elements in the output, `'sum'`: the output will be summed. Note: `size_average` and `reduce` are in the process of being deprecated, and in the meantime, specifying either of those two args will override `reduction`. Default: `'mean'`"
torch.nn.functional.ctc_loss,reduction,mean,"['mean', 'none', 'sum']","Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the output losses will be divided by the target lengths and then the mean over the batch is taken, `'sum'`: the output will be summed. Default: `'mean'`"
torch.nn.poissonnllloss,reduction,mean,"['mean', 'none', 'sum']","Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the sum of the output will be divided by the number of elements in the output, `'sum'`: the output will be summed. Note: `size_average` and `reduce` are in the process of being deprecated, and in the meantime, specifying either of those two args will override `reduction`. Default: `'mean'`"
torch.irfft,signal_ndim,null,"['1', '2', '3']","the number of dimensions in each signal. `signal_ndim` can only be 1, 2 or 3"
torch.nn.multimarginloss,reduction,mean,"['mean', 'none', 'sum']","Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the sum of the output will be divided by the number of elements in the output, `'sum'`: the output will be summed. Note: `size_average` and `reduce` are in the process of being deprecated, and in the meantime, specifying either of those two args will override `reduction`. Default: `'mean'`"
torch.nn.nllloss,reduction,mean,"['mean', 'none', 'sum']","Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the sum of the output will be divided by the number of elements in the output, `'sum'`: the output will be summed. Note: `size_average` and `reduce` are in the process of being deprecated, and in the meantime, specifying either of those two args will override `reduction`. Default: `'mean'`"
