API,Arg,default,enum_constr,descp
tf.nn.conv1d,data_format,NWC,"['NCW', 'NWC']","An optional `string` from `""NWC"", ""NCW""`.  Defaults to `""NWC""`, the data is stored in the order of [batch, in_width, in_channels].  The`""NCW""` format stores data as [batch, in_channels, in_width]."
tf.keras.layers.GlobalMaxPool1D,data_format,channels_last,"['channels_first', 'channels_last']","A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, steps, features)` while `channels_first`corresponds to inputs with shape`(batch, features, steps)`."
tf.nn.space_to_depth,data_format,NHWC,"['NCHW', 'NCHW_VECT_C', 'NHWC']","An optional `string` from: `""NHWC"", ""NCHW"", ""NCHW_VECT_C""`. Defaults to `""NHWC""`."
tf.nn.conv2d_transpose,data_format,NHWC,"['NCHW', 'NHWC']",A string. 'NHWC' and 'NCHW' are supported.
tf.nn.conv2d_transpose,padding,SAME,"['SAME', 'VALID']","A string, either `'VALID'` or `'SAME'`. The padding algorithm. See the ""returns"" section of `tf.nn.convolution` for details."
tf.quantization.dequantize,mode,MIN_COMBINED,"['MIN_COMBINED', 'MIN_FIRST', 'SCALED']","An optional `string` from: `""MIN_COMBINED"", ""MIN_FIRST"", ""SCALED""`. Defaults to `""MIN_COMBINED""`."
tf.keras.layers.Conv3D,data_format,None,"['channels_first', 'channels_last']","A string, one of `channels_last` (default) or `channels_first`. The ordering of the dimensions in the inputs.`channels_last` corresponds to inputs with shape`(batch, spatial_dim1, spatial_dim2, spatial_dim3, channels)`while `channels_first` corresponds to inputs with shape`(batch, channels, spatial_dim1, spatial_dim2, spatial_dim3)`. It defaults to the `image_data_format` value found in your Keras config file at `~/.keras/keras.json`. If you never set it, then it will be ""channels_last""."
tf.keras.layers.Conv3D,padding,valid,"['same', 'valid']","one of `""valid""` or `""same""` (case-insensitive)."
tf.bitcast,type,null,"['tf.bfloat16', 'tf.complex128', 'tf.complex64', 'tf.float32', 'tf.float64', 'tf.half', 'tf.int16', 'tf.int32', 'tf.int64', 'tf.int8', 'tf.qint16', 'tf.qint32', 'tf.qint8', 'tf.quint16', 'tf.quint8', 'tf.uint16', 'tf.uint32', 'tf.uint64', 'tf.uint8']","A `tf.DType` from: `tf.bfloat16, tf.half, tf.float32, tf.float64, tf.int64, tf.int32, tf.uint8, tf.uint16, tf.uint32, tf.uint64, tf.int8, tf.int16, tf.complex64, tf.complex128, tf.qint8, tf.quint8, tf.qint16, tf.quint16, tf.qint32`."
tf.keras.preprocessing.image.apply_affine_transform,fill_mode,nearest,"['constant', 'nearest', 'reflect', 'wrap']","Points outside the boundaries of the input     are filled according to the given mode     (one of `{'constant', 'nearest', 'reflect', 'wrap'}`)."
